Day,Month,Timepoint,Temperature,Humidity ,Radiation,Rainfall,Diffuse Horizontal Radiation,Power
63,5,8,15.23157978,57.66007233,165.390213,0,27.20937157,46.76186752
63,5,8.5,18.44370461,46.35881805,279.520752,0,34.01713943,90.02032471
63,5,9,20.67428398,36.14552307,406.1224365,0,43.26197433,128.7761383
63,5,9.5,21.7600956,34.25424194,510.7518005,0,56.58858109,163.028244
63,5,10,23.9100647,31.30726624,591.395752,0,71.78323364,193.0553131
63,5,10.5,24.23303223,31.1534481,614.1116333,0,64.36671448,193.3686523
63,5,11,26.39659309,28.77126122,726.6954346,0,62.78886414,224.4537964
63,5,11.5,26.05469322,29.01128197,758.7244873,0,75.22040558,244.5439301
63,5,12,27.85814857,24.91840744,802.0335693,0,69.9352417,237.8777618
63,5,12.5,27.64144897,23.48207855,806.8828735,0,82.40637207,236.1624298
63,5,13,27.98040962,23.26753044,801.414978,0,81.36527252,242.8767548
63,5,13.5,28.565588,22.06222725,762.7362061,0,68.33322144,209.8165283
63,5,14,28.54200554,20.48653412,715.7368164,0,62.57447052,128.286972
63,5,14.5,29.06578064,19.15070915,674.4389648,0,70.20584106,164.5202484
63,5,15,28.97037315,18.69170761,608.3342896,0,96.42558289,114.2718735
63,5,15.5,29.44957161,18.18539047,505.1207275,0,56.02099991,72.77657318
63,5,16,28.5205307,17.8272686,412.144104,0,52.84653473,62.00331879
63,5,16.5,28.96797752,17.37853241,312.2286072,0,47.85075378,48.18653488
63,5,17,28.03436661,18.43093872,194.5716553,0,40.23269653,108.8401337
63,5,17.5,27.44506454,19.24096107,30.50279808,0,27.88853836,52.78025055
63,5,18,25.86424637,21.84397888,9.882946014,0,8.236146927,6.633425236
68,5,8,14.01222897,58.30115509,98.61400604,0,89.61735535,51.90445709
68,5,8.5,14.96303272,51.69061279,206.3170319,0,173.1051178,94.21438599
68,5,9,16.07510948,47.09370041,322.3924561,0,223.8459625,132.8371124
68,5,9.5,16.4608345,45.0152359,374.5003662,0,262.2969971,168.0762024
68,5,10,16.9367981,42.40246964,455.9340515,0,278.1324463,198.5217285
68,5,10.5,17.21125221,42.71169281,517.5613403,0,299.8213806,222.875
68,5,11,17.59312057,41.80567169,609.7215576,0,284.1290283,241.0837555
68,5,11.5,18.37939644,40.17523575,624.2735596,0,370.0814514,255.3592834
68,5,12,18.91287231,38.83555222,632.1227417,0,395.9550781,262.9686584
68,5,12.5,18.90983963,38.96153259,512.9485474,0,414.1985779,247.2858887
68,5,13,19.38039017,39.5541153,562.3250732,0,348.6894836,260.9165039
68,5,13.5,20.09238243,37.07901382,634.4822998,0,300.8814392,190.686676
68,5,14,20.10483551,37.37987137,541.5081787,0,288.6990662,239.9412231
68,5,14.5,20.34354973,36.40377426,450.0575562,0,315.258728,200.5007629
68,5,15,20.27854919,36.35701752,336.405304,0,304.6373596,198.7229309
68,5,15.5,20.44755936,39.07655716,262.5906677,0,252.2486725,192.6394196
68,5,16,20.52448654,39.26916122,237.0660248,0,208.6999359,162.1088409
68,5,16.5,19.61964035,42.42354202,185.267868,0,168.0511475,127.6960144
68,5,17,19.0868988,44.94141006,102.8230057,0,101.2333908,88.02176666
68,5,17.5,18.38778687,48.63834,52.8313179,0,51.14594269,45.75983047
68,5,18,17.26362228,55.75019836,8.467508316,0.200000003,6.712830067,6.540141582
171,8,8,9.06152153,41.1629715,199.2422638,0,25.81991577,47.05679321
171,8,8.5,11.41685295,34.24953842,341.9329834,0,35.37409592,91.98570251
171,8,9,12.70185566,31.30838203,465.3475952,0,43.32361221,132.3946838
171,8,9.5,13.8789959,28.6619091,558.3292236,0,54.48068619,168.4597931
171,8,10,14.58761406,26.89852905,655.2166138,0,69.41008759,199.4574127
171,8,10.5,15.40116405,24.66717911,726.2752075,0,64.11521149,226.2158203
171,8,11,16.51815796,22.96004868,788.7388306,0,55.11341095,244.7796326
171,8,11.5,17.12088585,21.17869949,846.0942383,0,57.92365646,256.7709351
171,8,12,18.05653191,19.1282959,885.6532593,0,62.76413727,267.3103638
171,8,12.5,19.34708214,17.95039558,891.9632568,0,61.43198395,271.1506348
171,8,13,20.03536034,16.96144867,888.8520508,0,66.70835876,269.8097534
171,8,13.5,20.07072067,16.94991302,858.7888184,0,66.44270325,264.548645
171,8,14,20.85055923,15.47317028,827.645752,0,73.57527924,254.7144165
171,8,14.5,21.94355202,14.59561729,758.7998047,0,66.80484772,240.1467438
171,8,15,21.87577248,14.71623802,677.4348145,0,58.84929276,216.8010864
171,8,15.5,22.43431664,14.34732819,581.899353,0,51.53086472,196.6864624
171,8,16,22.55715179,14.05890465,477.2278442,0,46.77468109,168.2466278
171,8,16.5,22.45855522,14.07099533,380.0866699,0,46.99475861,123.4612961
171,8,17,22.04496956,14.41048527,264.6643066,0,47.47369385,114.1267242
171,8,17.5,21.73241615,14.61171341,46.38833618,0,44.36255646,20.91220856
171,8,18,20.72260284,15.62355804,18.25302887,0,17.67677116,11.16984272
172,8,8,12.94054031,53.68791199,33.36949158,0,32.10496902,4.599233627
172,8,8.5,13.50084209,56.73897552,23.30705452,0,22.43869781,59.07957077
172,8,9,12.29389572,68.47322083,126.9415588,0.6,116.7714767,58.04022598
172,8,9.5,14.33806992,53.62378311,155.3093414,0.6,146.6667023,149.8647461
172,8,10,15.39908218,52.24108124,303.0584106,0.6,261.853363,68.21585846
172,8,10.5,16.02316856,48.93375778,224.0306549,0.6,214.7277527,102.8199997
172,8,11,15.31115723,58.89721298,199.5638733,0.6,192.7425842,136.7226257
172,8,11.5,15.61261082,56.86998367,318.0036926,0.6,300.4703369,105.3839874
172,8,12,18.35647964,53.30153275,861.291687,0.6,404.1150208,228.2672729
172,8,12.5,19.22667122,51.10430908,1022.2146,0.6,415.6531372,109.0022736
172,8,13,19.10567474,50.31284714,871.9783936,0.6,213.8912201,77.25128174
172,8,13.5,20.21229744,46.21671295,825.0855103,0.6,88.50868988,291.6137695
172,8,14,19.5649662,47.82376862,682.7282715,0.6,392.6229248,173.0574036
172,8,14.5,19.34188843,49.39987946,677.3997192,0.6,230.9188995,170.945816
172,8,15,18.88672638,49.82776642,98.9629364,0.6,93.4127655,226.4710999
172,8,15.5,20.02465439,51.49443817,566.2094116,1,126.0424118,197.9452667
172,8,16,21.13428307,45.06600571,467.0649719,1,65.79560089,174.0139313
172,8,16.5,20.48306274,47.25788498,260.9322205,1,95.79602814,142.8795319
172,8,17,19.76487923,52.17423248,152.9846802,1,144.9633636,105.7339249
172,8,17.5,19.56840324,52.30173111,92.40081024,1,83.80645752,64.71407318
172,8,18,20.24031448,45.68835831,41.29045868,1,38.71780396,25.25664139
182,8,8,13.42730045,102.0947037,132.9369354,0,130.6533661,61.75800323
182,8,8.5,13.95912933,102.0832138,194.6199799,0,189.8618164,106.2099609
182,8,9,14.74288082,102.0895309,399.6102905,0,364.4050903,146.9555359
182,8,9.5,15.92861652,100.4980621,546.9500732,0,270.2683411,178.5495453
182,8,10,17.94557571,79.0927124,688.8197021,0,136.4242554,206.2667542
182,8,10.5,19.95468712,59.11537933,754.0184326,0,63.08607101,231.920166
182,8,11,20.6427536,46.89910507,551.6610718,0,480.9674683,250.7803802
182,8,11.5,21.32702446,44.871315,739.7341919,0,162.6736298,261.2333984
182,8,12,21.205513,47.73490906,518.9213867,0,478.4269409,268.5713501
182,8,12.5,21.90753555,46.21711349,848.9989624,0,204.7945862,275.5352478
182,8,13,23.59469986,42.52010727,998.713562,0,272.1055908,273.4537354
182,8,13.5,22.43211174,47.3187294,479.0302734,0,446.3414307,270.1344604
182,8,14,22.48407745,47.51243591,490.6311646,0,420.4772949,258.3831787
182,8,14.5,23.37984657,43.63228989,717.2236328,0,282.5884399,245.8547668
182,8,15,23.1850872,44.96528625,225.602066,0,207.0231323,229.678009
182,8,15.5,23.21753311,45.91052246,323.0030823,0,196.7777863,207.5029144
182,8,16,23.87158394,45.77574921,487.5626831,0,245.6980591,178.8003082
182,8,16.5,23.13914871,49.49350357,106.2872238,0,94.82830811,147.4311829
182,8,17,23.21552467,53.32698059,111.7636337,0,106.7037201,110.3512039
182,8,17.5,22.3655777,57.57022858,84.06635284,0,72.2409668,68.99060059
182,8,18,21.82734108,60.0976944,21.84636688,0,20.19305992,27.81032944
183,9,8,19.06908607,82.80954742,264.4537048,0,66.15921021,6.288156986
183,9,8.5,20.30531311,76.70802307,373.2969666,0,44.24874496,60.82305527
183,9,9,20.9268589,75.63596344,524.6278687,0,84.7922821,18.10628891
183,9,9.5,20.41611862,77.09896851,147.1396332,0,138.630249,34.78116226
183,9,10,20.87600327,75.93920135,207.0215149,0,190.5472412,25.17914009
183,9,10.5,21.84822845,70.46235657,279.127594,0,255.4450989,33.60282898
183,9,11,23.56106567,63.61063385,790.8787842,0,184.2072144,26.22284508
183,9,11.5,24.59029198,56.23134613,533.2254639,0,261.3119507,135.20961
183,9,12,24.96920013,51.13428116,730.8730469,0,454.6721191,49.44827652
183,9,12.5,25.79999924,45.85187149,758.2577515,0,432.1459351,34.8996048
183,9,13,26.09770393,42.71618652,822.1951904,0,271.8207092,45.7492218
183,9,13.5,27.2722168,38.68734741,835.3831787,0,374.7325745,101.8225555
183,9,14,25.40507507,44.2233429,269.4701233,0,252.847702,103.8609314
183,9,14.5,21.11450195,67.66181183,159.990387,0,148.2935638,101.4676056
183,9,15,21.20904922,66.63872528,154.6174774,0,149.9951019,102.812233
183,9,15.5,21.2235527,62.24820328,135.1244202,0,128.6600647,201.8947449
183,9,16,21.53984451,60.52916718,140.8209839,0,138.1455994,109.0849838
183,9,16.5,21.03216553,62.53367615,54.01274872,0,52.31104279,122.7034225
183,9,17,19.02694702,73.59564972,55.34543228,0,54.65860367,99.74817657
183,9,17.5,16.98028374,90.83650208,18.62805939,0.4,18.1295166,58.35547638
183,9,18,16.89199257,97.45545197,8.771491051,0.8,8.117994308,27.17317772
194,9,8,16.92653275,43.75257111,76.95623016,0,75.4794693,38.75894547
194,9,8.5,18.44534683,34.43136978,105.8109665,0,101.0007935,74.89900208
194,9,9,18.59227562,32.21824265,184.8941956,0,171.1586914,157.256958
194,9,9.5,19.52640343,30.45092583,211.7953339,0,202.818573,134.7292938
194,9,10,19.58960152,30.80247498,161.3608246,0,158.6335754,146.392395
194,9,10.5,19.6713829,34.36021423,239.0861053,0,234.7283325,180.6714783
194,9,11,20.18481827,31.37403488,174.7700043,0,173.3224182,179.725235
194,9,11.5,20.34573746,32.2446785,262.3124084,0,258.4993896,239.4029236
194,9,12,22.00044823,29.81025887,601.7567749,0,522.4632568,146.4125214
194,9,12.5,23.34605789,25.93036079,488.3629761,0,480.591156,292.1359558
194,9,13,23.71165848,26.09949684,312.1185303,0,305.4789429,137.0339966
194,9,13.5,24.92040062,24.22620201,406.197998,0,402.419342,76.67327881
194,9,14,25.78979301,23.33559799,398.8800049,0,387.0569153,16.50849342
194,9,14.5,26.77985382,21.26582336,514.3475952,0,427.5029602,23.07409859
194,9,15,28.05333519,19.31130791,623.1427002,0,493.2781372,14.86392403
194,9,15.5,28.71927071,18.42256355,543.1862793,0,279.2654724,11.24058437
194,9,16,29.85127831,16.87255478,533.3074951,0,75.2926712,8.291039467
194,9,16.5,30.09209061,16.70752335,398.630249,0,57.0991478,40.94186401
194,9,17,29.77961731,17.68426704,297.0072021,0,51.57712173,11.66456413
194,9,17.5,28.9347744,17.79737663,162.3958282,0,35.47513199,4.074532986
194,9,18,28.3646965,17.96567345,25.98178864,0,23.63855553,2.209717035
196,9,8,9.180082321,83.88372803,79.80126953,0,75.90525055,33.26793671
196,9,8.5,9.680666924,74.0489502,188.7759399,0,123.8628235,42.45986938
196,9,9,10.23661137,67.5938797,153.5142517,0,143.3084564,42.23535538
196,9,9.5,10.83282948,62.50658035,263.7265625,0,184.9754333,96.30439758
196,9,10,12.4543581,56.84314728,774.2938843,0,192.5177155,79.40628052
196,9,10.5,11.94786263,55.80057907,515.5036621,0,331.9429016,141.4398804
196,9,11,12.23721695,56.25201797,404.0151367,0,363.5013733,168.1809692
196,9,11.5,12.69220734,57.78434372,431.4441833,0,372.7978516,176.3874512
196,9,12,13.37542629,54.37102127,922.7276001,0,238.3275604,121.6025238
196,9,12.5,12.98491955,55.17499161,129.0852661,0,123.1824036,171.6841736
196,9,13,12.993927,56.48258209,193.3256531,0,182.9762268,167.3925171
196,9,13.5,13.9340744,56.72788239,1007.240356,0,459.5335693,129.2427063
196,9,14,13.43489075,56.25281906,262.693634,0,239.0027313,153.8638
196,9,14.5,10.99002838,78.79675293,58.65726471,0.8,58.26486206,81.95909882
196,9,15,10.58272552,86.50870514,47.44163513,1.8,46.33749008,240.3076935
196,9,15.5,10.08330154,90.19953918,298.1911316,4,254.153183,222.5690918
196,9,16,11.39479923,82.39608002,222.0379639,4,96.54564667,189.3935089
196,9,16.5,12.26212215,75.50642395,410.5974121,4,66.30356598,153.5355377
196,9,17,12.60404396,71.81015015,259.0731201,4,52.99102783,112.5382233
196,9,17.5,12.35904884,71.5711441,92.60710907,4,47.608078,63.36146545
196,9,18,12.24552059,74.01855469,31.65243721,4,31.1210022,11.86616325
200,9,8,10.92956448,71.12948608,363.572052,0,35.78456116,83.73688507
200,9,8.5,12.03552437,67.14319611,503.8143311,0,46.57847214,129.3994598
200,9,9,12.43964767,63.60842896,621.1884766,0,54.64014435,170.679718
200,9,9.5,13.39963245,59.39421082,707.314209,0,51.33909607,205.5933533
200,9,10,14.3380909,53.98508453,812.9260254,0,70.37018585,233.7528381
200,9,10.5,14.75349522,53.49310684,816.4266357,0,76.62313843,256.1112366
200,9,11,15.281703,49.77488708,906.5541992,0,120.9786911,272.1887512
200,9,11.5,15.57740593,48.04766846,1004.24646,0,72.57450104,284.3374939
200,9,12,16.18702126,46.185215,1028.959229,0,69.82284546,290.4142151
200,9,12.5,16.92785835,45.84091187,1030.04126,0,74.05316162,293.0163879
200,9,13,16.97054863,44.6312294,668.5961304,0,384.2816772,291.6625061
200,9,13.5,17.28687286,43.38605881,542.401123,0,478.530365,283.2690735
200,9,14,18.10360336,41.21584702,855.9349365,0,289.6699219,272.709137
200,9,14.5,18.51980972,41.51740265,825.6611938,0,181.9402771,260.2808838
200,9,15,18.49333572,43.28293228,559.5366821,0,435.3778687,238.0484467
200,9,15.5,19.52625275,39.96495819,704.5245972,0,185.6154938,215.7996216
200,9,16,18.24266815,41.18375397,301.0302429,0,286.3222961,186.661499
200,9,16.5,18.67823601,41.52335358,483.2929688,0,218.2892761,153.6929321
200,9,17,18.3612175,41.17030334,266.3292236,0,159.8997345,113.8220749
200,9,17.5,17.92154312,42.70736694,101.0563202,0,79.65689087,70.36495972
200,9,18,17.40058136,44.02838516,44.34772873,0,42.94023132,28.95630074
201,9,8,15.70721722,61.5502739,329.6929016,0,36.67102814,84.11653137
201,9,8.5,16.73403931,58.52975845,458.2427063,0,102.218277,127.3794632
201,9,9,16.25485992,61.47421265,217.2052002,0,197.2605896,165.8972168
201,9,9.5,18.25032425,54.20758057,340.2441711,0,283.3902893,197.4884186
201,9,10,20.39645767,49.29278564,792.2160645,0,308.8756104,224.437851
201,9,10.5,23.60767746,44.45574188,876.5119019,0,347.1818848,245.712616
201,9,11,24.14215469,50.00588608,996.6339111,0,190.8029633,262.598053
201,9,11.5,24.24399567,51.70400238,929.894165,0,252.9292145,273.746582
201,9,12,25.48534012,49.31756973,1036.091553,0,222.4561157,284.7141113
201,9,12.5,25.99759293,48.24380875,1177.394043,0,419.9922791,285.3969421
201,9,13,26.21660614,48.61424637,1083.835327,0,230.473938,285.8578491
201,9,13.5,26.47435951,48.86193085,870.3880615,0,357.2953796,290.2287598
201,9,14,26.55816269,48.32855988,644.9541016,0,340.9588623,203.4937134
201,9,14.5,26.58521843,47.78520966,1017.52124,0,462.7104797,264.0108948
201,9,15,24.3944912,54.92105865,349.8499756,0,284.3983154,224.8326111
201,9,15.5,23.9935379,56.89001846,538.3544922,0,249.8745117,225.138504
201,9,16,22.71532631,60.69943237,67.08420563,0,65.23680878,129.3384705
201,9,16.5,18.68975258,91.3234787,35.60960388,2.400000095,35.03735733,160.2705841
201,9,17,19.55723572,83.52835083,75.01750946,2.600000143,73.58023834,108.0436096
201,9,17.5,20.18349648,74.3404541,24.58961296,2.600000143,24.07048416,66.89266968
201,9,18,15.50691319,90.35412598,19.82566261,6.800000191,18.76461029,27.30350113
205,9,8,16.99009132,38.28079605,363.3513794,0,37.1602211,67.81011963
205,9,8.5,18.28520966,34.50777054,492.5158081,0,50.83861923,125.2852173
205,9,9,20.01468658,31.9268837,597.7247925,0,58.40754318,175.5645905
205,9,9.5,21.69859886,29.37911606,687.088562,0,56.90644455,136.1199951
205,9,10,22.72504616,27.60224533,781.1472168,0,65.08398438,185.4355164
205,9,10.5,24.72118187,25.27606392,863.4780273,0,76.79882813,219.1004028
205,9,11,25.71766663,24.71204948,990.2036133,0,116.899292,253.8653259
205,9,11.5,25.87942696,25.35660172,729.0256348,0,143.408432,248.7315674
205,9,12,27.88475609,23.25590134,1076.570679,0,153.1829681,199.5088806
205,9,12.5,28.93640709,22.45680428,1013.589233,0,246.6963959,215.0189819
205,9,13,29.22711563,22.86038399,1099.765381,0,179.3031311,270.2182617
205,9,13.5,27.98913002,25.27474403,702.0513306,0,413.4597168,210.4652557
205,9,14,27.55470276,25.67088318,339.6309814,0,330.1532898,223.9619904
205,9,14.5,27.59521675,27.41551781,362.6922607,0,355.4158936,253.151062
205,9,15,27.73847961,28.05331802,376.894165,0,369.0743103,81.76127625
205,9,15.5,27.60637856,29.21332359,295.5991516,0,281.7337341,82.55862427
205,9,16,26.91334534,29.29240227,214.4297485,0,182.7991028,62.45757294
205,9,16.5,27.74467659,27.60115242,368.3612061,0,225.3190002,62.51982117
205,9,17,26.84447289,29.58563805,291.9754028,0,153.5471802,130.7953491
205,9,17.5,26.50320244,29.57651901,162.4593201,0,98.35272217,82.15111542
205,9,18,25.96574974,31.27476501,84.97153473,0,54.46107864,34.83181763
206,9,8,22.2775898,41.26727676,363.3843079,0,172.6608734,81.61875153
206,9,8.5,21.26214218,36.7119751,123.6328354,0,121.6365433,26.25796318
206,9,9,22.03012085,32.91074371,366.412384,0,276.6184387,161.0746307
206,9,9.5,20.93898582,40.62295532,189.7227631,0,187.3241119,191.7317047
206,9,10,20.84681892,42.72868347,136.8562622,0,134.5235901,94.67853546
206,9,10.5,19.50837708,54.55418396,285.5235901,0,279.906311,206.3323822
206,9,11,20.09294128,48.68408585,264.5866699,0,257.7727966,256.1234741
206,9,11.5,18.91424561,64.33753967,300.4875183,0,294.027832,269.1782837
206,9,12,18.48404121,66.06174469,289.5529175,0.400000006,281.6276855,280.3897705
206,9,12.5,18.81820488,62.30025864,354.6512451,0.400000006,349.6795349,282.0960083
206,9,13,19.09893608,64.87489319,562.6824341,0.400000006,483.1835022,285.997467
206,9,13.5,21.19784546,52.11801529,931.5560913,0.400000006,196.4494324,278.3967285
206,9,14,21.66650963,51.78279114,968.7576294,0.400000006,166.2402191,267.9042358
206,9,14.5,23.21793556,48.33349609,715.4262695,0.400000006,237.4634399,235.4649048
206,9,15,23.74913979,45.66230774,613.0952148,0.400000006,383.8514404,235.0849762
206,9,15.5,24.4113369,42.97633362,656.9890747,0.400000006,150.3278198,212.1990051
206,9,16,25.74286079,38.05627823,546.4945068,0.400000006,72.98497009,184.7760315
206,9,16.5,25.39350319,37.26495743,430.0709534,0.400000006,57.42180634,150.2438965
206,9,17,24.94902802,37.24862289,304.3538208,0.400000006,62.48700714,111.1865311
206,9,17.5,24.74397087,39.35349274,168.7652435,0.400000006,89.99433136,69.37557983
206,9,18,23.81760597,41.74145889,34.4467392,0.400000006,30.60816574,28.84719849
232,10,8,23.46364021,14.29294205,156.0588837,0,150.2454987,100.9269257
232,10,8.5,23.41421127,14.2700367,237.178833,0,228.157074,138.2044678
232,10,9,24.88223267,12.94911957,367.7784119,0,290.949707,158.8424835
232,10,9.5,25.95162392,12.60375309,523.1746826,0,456.9124756,231.8389587
232,10,10,28.64119911,11.45115376,849.1246338,0,287.1913452,224.456192
232,10,10.5,29.77165031,11.17345715,1011.809021,0,102.5443344,292.3447571
232,10,11,30.34568405,11.03636932,1057.100708,0,92.46894073,179.3838501
232,10,11.5,32.13310623,10.35806084,1091.670654,0,124.6228256,240.2167206
232,10,12,31.76082611,10.85161209,1023.241882,0,285.7949829,207.4954224
232,10,12.5,32.75437546,10.38454628,732.9250488,0,420.1555481,173.0889435
232,10,13,33.8151207,10.13683224,806.3187866,0,591.5390015,138.7947998
232,10,13.5,32.99248505,10.35108376,573.9481812,0,535.6674805,250.0190582
232,10,14,31.63726425,10.87990189,228.7657623,0,226.4561005,164.2028656
232,10,14.5,30.70835876,11.3823576,169.1239014,0,165.1353302,88.0681076
232,10,15,30.93001175,11.43347549,174.2122803,0,167.6023865,271.1043701
232,10,15.5,30.38881874,11.94879246,80.44208527,0,77.66643524,206.5244904
232,10,16,30.49543571,13.11186695,139.2806244,0,134.0155029,174.2721863
232,10,16.5,29.07242775,18.54411697,139.5081787,0,126.4589462,141.0778503
232,10,17,29.39268303,16.35284424,81.75849152,0,81.61032867,108.2412338
232,10,17.5,29.33925629,16.5289917,71.92990112,0,70.79329681,64.21201324
232,10,18,28.69701195,18.1758461,31.82165909,0,31.78313446,12.11934566
233,10,8,22.04217339,50.44844437,248.177948,0,244.2904968,33.36003113
233,10,8.5,22.89548683,49.27392578,199.0985718,0,196.0443573,54.8870163
233,10,9,22.21448708,54.73497772,58.74994659,0,57.79681778,34.43630219
233,10,9.5,20.51516724,71.18029785,181.6643524,0.200000003,175.3153076,38.76917267
233,10,10,21.5995903,65.46359253,297.7108154,0.200000003,294.5666504,94.02360535
233,10,10.5,23.87721252,55.17229462,646.9351196,0.200000003,538.2210083,128.8865662
233,10,11,25.39927864,47.83300781,716.3577271,0.200000003,459.1023865,74.33901978
233,10,11.5,25.62714958,46.72893143,619.9364624,0.200000003,521.6295166,57.3845253
233,10,12,25.4047966,40.83351135,415.4296875,0.200000003,403.5996704,109.1369934
233,10,12.5,23.47357178,50.55699539,123.3928223,0.200000003,123.0717392,138.1982422
233,10,13,21.86819267,64.5537796,153.1483765,0.200000003,151.5610504,121.5011673
233,10,13.5,20.72296333,72.2449646,137.0118103,0.400000006,136.4988708,91.01934052
233,10,14,20.2019577,76.80974579,151.2246704,0.600000024,149.5498352,56.15649414
233,10,14.5,20.12130165,76.68257904,129.5281219,1,128.6834717,75.54701233
233,10,15,19.44981003,81.22128296,72.37885284,1.400000095,71.7897644,108.1213379
233,10,15.5,19.29421234,84.69512939,57.03274536,1.600000143,56.86508942,166.0073395
